,cell_type,BC,BCC,CM,CRC,EA,HCC,ICC,NSCLC,OC,PDAC,RCC,SCC,UM
0,B cells,1247,5859,3871,4889,284,476,240,2333,8,1944,1883,5,48
0,Cytotoxic CD8 T cells,4202,3717,6157,3208,3622,1682,451,6792,95,478,3263,5571,1041
0,Effector memory CD8 T cells,230,68,256,83,6995,37,34,3892,63,39,65,86,41
0,M2 TAMs,1955,297,3308,2953,7,1077,336,943,658,2172,2332,0,1842
0,Mast cells,1494,3,216,54,1,50,21,100,58,129,102,0,5
0,Monocytes,675,73,1708,627,2,606,46,585,481,357,4265,0,91
0,NK,1334,615,1737,240,425,1508,99,1613,52,96,1386,254,189
0,Naive T cells,2581,3277,2969,2507,1382,1367,424,4227,146,679,623,1329,358
0,Naive-memory CD4 T cells,2638,1689,6505,2351,1081,1226,727,5721,52,579,888,1105,335
0,Plasma B cells,190,2260,1899,4266,40,1189,341,671,4,411,72,0,24
0,Pre-exhausted CD8 T cells,442,218,1025,139,369,54,105,1402,1,26,22,237,103
0,Proinflamatory TAMs,970,1160,1554,1704,0,315,112,270,218,541,895,0,313
0,Proliferative B cells,1,9,94,111,0,10,7,66,0,533,1,1,1
0,Proliferative T cells,183,1113,2219,1282,383,448,292,2132,50,388,118,1130,560
0,Proliferative monocytes and macrophages,56,7,231,183,0,71,26,46,11,278,34,0,105
0,Recently activated CD4 T cells,4607,379,2504,624,1544,220,39,5232,14,3,144,137,51
0,Regulatory T cells,992,3235,3116,3135,2295,1413,344,5235,15,269,138,2855,338
0,SPP1 TAMs,2627,34,564,719,11,106,18,187,123,433,313,7,725
0,T helper cells,209,2239,1317,490,683,345,87,1819,10,128,43,2476,121
0,Terminally exhausted CD8 T cells,313,1339,5630,3175,2257,776,286,4259,7,68,147,4107,1768
0,Th17 cells,760,4540,2915,3854,865,1440,1631,4586,23,65,606,4747,225
0,Transitional memory CD4 T cells,448,630,682,905,363,386,65,660,44,34,149,804,38
0,cDC,114,724,307,192,1,281,53,175,36,153,69,1,34
0,mDC,625,581,830,444,0,515,129,556,139,792,742,0,131
0,pDC,25,874,775,141,1,43,19,142,124,28,40,0,26
