,MajorCluster,ESCA,KIDNEY,L,LYM,MM,MYE,OV,OV-FTC,PAAD,PACA,RC,THCA,UCEC
0,C01_cDC2_CXCR4hi,93,0,1,0,45,0,36,0,0,34,1220,116,306
0,C02_cDC2_CD1A,109,0,3,0,42,0,8,0,0,75,415,179,378
0,C03_cDC2_IL1B,182,0,2,0,23,0,47,0,0,74,589,235,56
0,C04_cDC2_FCN1,74,0,2,0,90,0,13,0,0,41,226,48,226
0,C05_cDC2_ISG15,19,0,0,0,17,0,8,0,0,11,200,28,19
0,C06_cDC2_CXCL9,4,0,16,0,25,0,2,0,0,5,75,21,23
0,M01_Mast_KIT,539,1989,0,0,0,0,0,7,594,0,0,50,689
0,M01_pDC_LILRA4,0,0,0,22,0,89,0,0,0,0,0,0,0
0,M02_cDC1_CLEC9A,0,0,0,12,0,42,0,0,0,0,0,0,0
0,M02_pDC_LILRA4,92,54,0,0,0,0,0,11,0,0,0,282,236
0,M03_cDC1_CLEC9A,75,211,0,0,0,0,0,17,11,0,0,135,170
0,M03_cDC2_CD1C,0,0,0,26,0,314,0,0,0,0,0,0,0
0,M04_Mono_CD14,0,0,0,141,0,0,0,0,0,0,0,0,0
0,M04_cDC2_CD1C,640,4525,0,0,0,0,0,142,353,0,0,883,1159
0,M04_cDC3_LAMP3,0,0,0,0,0,6,0,0,0,0,0,0,0
0,M05_Mono_CD14,0,0,0,0,0,2321,0,0,0,0,0,0,0
0,M05_Mono_CD16,0,0,0,121,0,0,0,0,0,0,0,0,0
0,M05_cDC3_LAMP3,144,227,0,0,0,0,0,15,52,0,0,130,166
0,M06_Macro_ISG15,0,0,0,264,0,0,0,0,0,0,0,0,0
0,M06_Mono_CD14,974,5352,0,0,0,0,0,258,409,0,0,221,1844
0,M06_Mono_CD14CD16,0,0,0,0,0,1608,0,0,0,0,0,0,0
0,M07_Macro_C1QC,0,0,0,29,0,0,0,0,0,0,0,0,0
0,M07_Mono_CD16,384,7776,0,0,0,2083,0,160,55,0,0,285,350
0,M08_Macro_FN1,0,1319,0,0,0,0,0,0,0,0,0,0,0
0,M08_Macro_NLRP3,1560,0,0,0,0,151,0,0,0,0,0,889,1303
0,M08_Macro_SPP1,0,0,0,0,0,0,0,1353,356,0,0,0,0
0,M09_Macro_C1QC,0,0,0,0,0,1005,0,1925,1023,0,0,0,0
0,M09_Macro_IL1B,0,2363,0,0,0,0,0,0,0,0,0,0,0
0,M09_Macro_INHBA,947,0,0,0,0,0,0,0,0,0,0,0,0
0,M09_Macro_ISG15,0,0,0,0,0,0,0,0,0,0,0,0,318
0,M09_Macro_SPP1,0,0,0,0,0,0,0,0,0,0,0,498,0
0,M10_Macro_C1QC,1101,0,0,0,0,0,0,0,0,0,0,443,0
0,M10_Macro_GPNMB,0,2264,0,0,0,0,0,0,0,0,0,0,0
0,M10_Macro_SPP1,0,0,0,0,0,0,0,0,0,0,0,0,1072
0,M11_Macro_C1QC,0,1536,0,0,0,0,0,0,0,0,0,0,865
0,M11_Macro_ISG15,0,0,0,0,0,0,0,0,0,0,0,144,0
0,M11_Macro_LYVE1,1217,0,0,0,0,0,0,0,0,0,0,0,0
0,M12_Macro_LYVE1,0,1314,0,0,0,0,0,0,0,0,0,252,636
0,M13_Macro_INHBA,0,0,0,0,0,0,0,0,0,0,0,1100,0
